"code","title","description","credits","createdAt","updatedAt","id","cycle"
ATE800E,Academic Integrity : Concepts and Techniques,"The ATE800 workshop must be passed in the first session. At the end of the workshop, the student will be able:to distinguish his/her own words and ideas from those of others;to correctly introduce in his/her texts the words, ideas, graphics or other elements taken from other publications or sites and to quote the source. Plagiarism and sanctions. Moral and legal responsibilities. Types of quotes. Rules applicable. Identification of sources. Mandatory workshop for students of graduate and PhD...",0,2024-11-02 01:50:21.499,2024-11-02 01:50:21.569,407641,2
ELE735,Analyse numérique,"Au terme de ce cours, l'étudiante ou l'étudiant aura acquis des méthodes de résolution numérique sur ordinateur des problèmes mathématiques d'ingénierie. Présentation de la théorie de l'analyse numérique. Détails des différents algorithmes classiques de résolution numérique et évaluation de leur précision. Identification des types de problèmes qui exigent des techniques numériques pour être résolus et évaluation de la propagation éventuelle des erreurs découlant de...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,350543,1
MTI850,Analytiques des données massives,Ce cours présente les concepts pour effectuer une analyse statistique de très grands ensembles de données qui ne tiennent pas sur un seul ordinateur. Ce cours vous permettra développer vos connaissances en analyse de données massives et améliorerez vos compétences en programmation et en mathématiques. Vous apprendrez à utiliser des outils analytiques essentiels pour l’analyse statistique des données massives. Plusieurs problèmes applicatifs seront étudiés et différentes...,3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,353344,2
CHM015,Chimie préparatoire pour le génie (hors programme),"Ce cours vise à initier l’étudiante ou l'étudiant à la résolution de problèmes en appliquant les modèles de la chimie générale et de la chimie des solutions. Au terme de ce cours, l’étudiant sera en mesure de : communiquer un résultat scientifique; interpréter les informations contenues dans un tableau périodique; représenter une structure moléculaire simple; décrire quantitativement l’état gazeux; effectuer des calculs stoechiométriques; équilibrer des équations...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.773,349708,1
ELE752,Appareillage électrique,"Au terme de ce cours, l'étudiante ou l'étudiant aura acquis les connaissances fondamentales et appliquées sur l’appareillage électrique d’un réseau de transport. Éléments d’un réseau de transport. Gestion du réseau. Machines synchrones : conception, modélisation, régime transitoire. Lignes et câbles de transport et de distribution. Mise à la terre. Équipements de compensation : condensateurs et inducteurs, branchement série et shunt, systèmes flexibles de transport...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,350599,1
GES850,Choix tactiques et opérationnels,"au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : • d’établir les besoins en ressources; • d’optimiser le choix des ressources à toutes les étapes de la vie de l’entreprise innovante; Analyse de risque et rendement. Assignation de priorités. Ressources internes et externes. Ressources financières, humaines et matérielles. Partenariat, alliance et sous-traitance. Organisation du travail. Véhicules de financement. Évaluation et valeur. Marketing et modes de...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.773,351001,2
LOG410,Analyse de besoins et spécifications,"Au terme de ce cours, l’étudiante ou l’étudiant sera initié à l’exercice exhaustif d’analyse des besoins et au développement d’une spécification de produit à partir de l’analyse de besoins. Importance de l’analyse des besoins. Modèles de cycle de vie du logiciel et formes appropriées d’analyse des besoins à chaque étape. Étapes du processus de formalisation des besoins. Caractéristiques des informations contenues dans le document d’analyse des besoins ainsi que le...",3,2024-11-02 01:50:21.501,2024-11-02 01:50:21.569,352449,1
MGC842,Analyse dynamique et sismique des ponts et bâtiments,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure de calculer la réponse dynamique et sismique de structures courantes, notamment celles des bâtiments et des ponts. Il se familiarisera également à des notions avancées et de nouvelles approches de calcul parasismique. Charges dynamiques, équations de mouvement des systèmes à un et plusieurs degrés de liberté, vibration libre et forcée, analyse modale, analyse spectrale, analyse dans le domaine du temps, analyse dans...",3,2024-11-02 01:50:21.501,2024-11-02 01:50:21.570,353208,2
SYS806,Application de la méthode des éléments finis,"Acquérir des connaissances fondamentales sur la méthode des éléments finis afin de résoudre numériquement les problèmes physiques gouvernés par les équations aux dérivées partielles. Être en mesure de développer et d’utiliser un logiciel d’éléments finis pour modéliser un problème d’analyse des contraintes ou de thermofluide. Introduction aux concepts fondamentaux : formulation variationnelle des problèmes aux limites (formulation forte, faible et discrète). Méthode de...",4,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,353680,2
MEC636,Acoustique industrielle,"Ce cours vise à rendre l’étudiant apte à mesurer et réduire le bruit en s’appuyant sur les bases théoriques de l'acoustique industrielle et les techniques expérimentales associées. À la fin de ce cours, l'étudiante ou l'étudiant sera en mesure : d’évaluer une plainte relative au bruit en effectuant mesures, analyses et interprétations des résultats; d'identifier les phénomènes physiques liés à la génération et à la propagation d'ondes sonores; de calculer par la...",3,2024-11-02 01:50:21.500,2024-11-02 01:50:21.569,352926,1
GOL605,Analyse de la performance financière,"Rappel des états financiers (bilan, état des résultats), de leur cycle d’élaboration et de leur interrelation. Analyse globale des états financiers, les principaux ratios. Analyse raffinée par secteur de l’entreprise. Rôle du système de prix de revient, avantages et inconvénients. Connaissance des générateurs de coûts. Concept de la comptabilité par activités. Occasions générées par les nouvelles technologies. Chaîne de valeur type de Michael Porter. Analyse et gestion des...",3,2024-11-02 01:50:21.501,2024-11-02 01:50:21.569,351299,1
TCH011,Circuits,"Ce cours ne peut être reconnu dans le cadre d’un programme de baccalauréat. Au terme de ce cours, l'étudiante ou l’étudiant sera en mesure : de réaliser un circuit physique (électrique, hydraulique, pneumatique) à partir d’un schéma; de vérifier le fonctionnement d’un circuit à l’aide des instruments d’usage. Utilisation des instruments de mesure : multimètre, générateurs d’onde, oscilloscope, manomètre, débitmètre, etc. Interprétation des conventions et des...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.773,353848,1
